sampleId	chromosome	start	end	copyNumber	bafCount	observedBAF	baf	segmentStartSupport	segmentEndSupport	method	depthWindowCount	gcContent	minStart	maxStart	minorAlleleCopyNumber	majorAlleleCopyNumber
sampleA	chr1	1	86871328	2.8134	28757	0.7101	0.7116	TELOMERE	BND	BAF_WEIGHTED	77815	0.4359	1	1	0.8115	2.0019
sampleA	chr1	86871329	117973563	2.0052	12574	1	1.005	BND	DEL	BAF_WEIGHTED	28737	0.3899	86871329	86871329	0	2.0052
sampleA	chr1	117973564	117973598	1.2013	0	0	1.0084	DEL	DEL	STRUCTURAL_VARIANT	0	0	117973564	117973564	0	1.2013
sampleA	chr1	117973599	123605522	2.026	636	1	1.005	DEL	CENTROMERE	BAF_WEIGHTED	1879	0.3958	117973599	117973599	0	2.026
sampleA	chr1	123605523	143236173	6.0289	0	0	1.0017	CENTROMERE	BND	STRUCTURAL_VARIANT	0	0.3582	123605523	123605523	0	6.0289
sampleA	chr1	143236174	148142020	3.9454	358	1	1.0026	BND	DUP	BAF_WEIGHTED	1111	0.4232	143236174	143236174	0	3.9454
sampleA	chr1	148142021	148142060	5.8865	0	0	1.0017	DUP	DUP	STRUCTURAL_VARIANT	0	0	148142021	148142021	0	5.8865
sampleA	chr1	148142061	207807886	3.9305	21805	1	1.0026	DUP	DEL	BAF_WEIGHTED	53522	0.4045	148142061	148142061	0	3.9305
sampleA	chr1	207807887	207841474	3.0111	2	1	1.0034	DEL	DEL	BAF_WEIGHTED	33	0.4951	207807887	207807887	0	3.0111
sampleA	chr1	207841475	224458900	3.9447	6570	1	1.0026	DEL	DUP	BAF_WEIGHTED	15586	0.4016	207841475	207841475	0	3.9447
sampleA	chr1	224458901	224595093	5.9595	114	1	1.0017	DUP	DEL	BAF_WEIGHTED	133	0.4259	224458901	224458901	0	5.9595
sampleA	chr1	224595094	224598331	3.9904	2	1	1.0025	DEL	DEL	BAF_WEIGHTED	2	0.4305	224595094	224595094	0	3.9904
sampleA	chr1	224598332	224612418	6.0084	7	1	1.0017	DEL	DUP	BAF_WEIGHTED	13	0.4196	224598332	224598332	0	6.0084
sampleA	chr1	224612419	248956422	3.9044	10362	1	1.0026	DUP	TELOMERE	BAF_WEIGHTED	22057	0.4174	224612419	224612419	0	3.9044
sampleA	chr2	1	849321	3.0274	290	0.6585	0.6596	TELOMERE	DUP	BAF_WEIGHTED	758	0.4334	1	1	1.0305	1.9969
sampleA	chr2	849322	849390	3.7166	0	0	0.7306	DUP	DUP	STRUCTURAL_VARIANT	0	0	849322	849322	1.0011	2.7155
sampleA	chr2	849391	91789391	3.0226	37506	0.6677	0.6688	DUP	INV	BAF_WEIGHTED	81892	0.4063	849391	849391	1.0011	2.0215
sampleA	chr2	91789392	93139350	2.7374	0	0	0.6343	INV	CENTROMERE	NON_DIPLOID	5	0.4617	91789392	91789392	1.0011	1.7363
sampleA	chr2	93139351	94278255	7.1403	0	0	0.8601	CENTROMERE	INV	STRUCTURAL_VARIANT	0	0.289	93139351	93139351	0.9992	6.1411
sampleA	chr2	94278256	94278558	3.2936	0	0	0.6966	INV	MULTIPLE	STRUCTURAL_VARIANT	0	0	94278256	94278256	0.9992	2.2944
sampleA	chr2	94278559	94282241	4.0811	0	0	0.7552	MULTIPLE	INV	STRUCTURAL_VARIANT	0	0	94278559	94278559	0.9992	3.0819
sampleA	chr2	94282242	94293015	4.8565	0	0	0.7943	INV	INV	STRUCTURAL_VARIANT	0	0	94282242	94282242	0.9992	3.8573
sampleA	chr2	94293016	122603588	3.0176	9911	0.6677	0.6689	INV	SGL	BAF_WEIGHTED	23005	0.4188	94293016	94293016	0.9992	2.0184
sampleA	chr2	122603589	242193529	3.0268	45336	0.6676	0.6688	SGL	TELOMERE	BAF_WEIGHTED	110638	0.3925	122603589	122603589	1.0026	2.0242
sampleA	chr3	1	24523616	2.0074	12124	1	1.005	TELOMERE	INV	BAF_WEIGHTED	22776	0.4067	1	1	0	2.0074
sampleA	chr3	24523617	24524688	6.0581	0	0	0.667	INV	INV	STRUCTURAL_VARIANT	0	0	24523617	24523617	2.0175	4.0406
sampleA	chr3	24524689	25290092	10.1089	273	0.8018	0.8024	INV	BND	BAF_WEIGHTED	741	0.3751	24524689	24524689	1.9975	8.1114
sampleA	chr3	25290093	25359111	12.076	66	0.8289	0.8295	BND	BND	BAF_WEIGHTED	60	0.3998	25290093	25290093	2.0596	10.0165
sampleA	chr3	25359112	25359568	9.8388	0	0	0.7967	BND	BND	STRUCTURAL_VARIANT	0	0	25359112	25359112	1.9999	7.8389
sampleA	chr3	25359569	26390427	8.0198	424	0.75	0.7506	BND	BND	BAF_WEIGHTED	971	0.387	25359569	25359569	1.9999	6.0199
sampleA	chr3	26390428	26622431	11.9488	9	0.8182	0.8187	BND	INV	BAF_WEIGHTED	202	0.3741	26390428	26390428	2.1658	9.7829
sampleA	chr3	26622432	26623007	7.9835	0	0	0.7503	INV	INV	STRUCTURAL_VARIANT	0	0	26622432	26622432	1.9934	5.9901
sampleA	chr3	26623008	60147026	4.0183	11319	0.5391	0.5039	INV	DEL	BAF_WEIGHTED	31344	0.4226	26623008	26623008	1.9934	2.0248
sampleA	chr3	60147027	60218814	2.8498	51	0.6689	0.6701	DEL	DEL	BAF_WEIGHTED	70	0.3893	60147027	60147027	0.9403	1.9095
sampleA	chr3	60218815	60886452	3.9231	324	0.5347	0.5093	DEL	DEL	BAF_WEIGHTED	643	0.383	60218815	60218815	1.9251	1.998
sampleA	chr3	60886453	61027541	2.9539	57	0.661	0.6621	DEL	DEL	BAF_WEIGHTED	124	0.3782	60886453	60886453	0.9982	1.9557
sampleA	chr3	61027542	90424598	4.0132	12824	0.5399	0.5043	DEL	DEL	BAF_WEIGHTED	27068	0.3754	61027542	61027542	1.9892	2.024
sampleA	chr3	90424599	90424769	3.2147	0	0	0.6296	DEL	DEL	STRUCTURAL_VARIANT	0	0	90424599	90424599	1.1907	2.024
sampleA	chr3	90424770	92214015	3.5373	0	0	0.5722	DEL	CENTROMERE	NON_DIPLOID	21	0.3814	90424770	90424770	1.5133	2.024
sampleA	chr3	92214016	128694268	4.0246	12741	0.5404	0.5064	CENTROMERE	SGL	BAF_WEIGHTED	32368	0.3869	92214016	92214016	1.9867	2.0379
sampleA	chr3	128694269	186724386	4.0039	22990	0.5399	0.5032	SGL	DEL	BAF_WEIGHTED	54291	0.3876	128694269	128694269	1.9892	2.0146
sampleA	chr3	186724387	186795843	3.7433	59	0.5385	0.5343	DEL	DEL	BAF_WEIGHTED	69	0.4303	186724387	186724387	1.7433	2
sampleA	chr3	186795844	198295559	3.986	5457	0.5383	0.5038	DEL	TELOMERE	BAF_WEIGHTED	10395	0.4098	186795844	186795844	1.9776	2.0083
sampleA	chr4	1	50726025	2.0241	23330	0.5557	0.5208	TELOMERE	CENTROMERE	BAF_WEIGHTED	44389	0.3998	1	1	0.9699	1.0542
sampleA	chr4	50726026	65346238	3.8503	5976	0.5399	0.5204	CENTROMERE	DUP	BAF_WEIGHTED	12394	0.3719	50726026	50726026	1.8467	2.0036
sampleA	chr4	65346239	65346321	6.0066	0	0	0.6903	DUP	DUP	STRUCTURAL_VARIANT	0	0	65346239	65346239	1.86	4.1466
sampleA	chr4	65346322	148507753	3.8594	35870	0.5406	0.5181	DUP	SGL	BAF_WEIGHTED	76100	0.3699	65346322	65346322	1.86	1.9994
sampleA	chr4	148507754	190214555	3.8388	17345	0.5408	0.5209	SGL	TELOMERE	BAF_WEIGHTED	38826	0.3768	148507754	148507754	1.8392	1.9996
sampleA	chr5	1	28787889	2.0032	13426	1	1.005	TELOMERE	DEL	BAF_WEIGHTED	26006	0.3928	1	1	0	2.0032
sampleA	chr5	28787890	28962988	0.9773	146	1	1	DEL	DEL	BAF_WEIGHTED	154	0.3472	28787890	28787890	0	0.9773
sampleA	chr5	28962989	48272853	2.0059	8609	1	1.005	DEL	CENTROMERE	BAF_WEIGHTED	15817	0.3849	28962989	28962989	0	2.0059
sampleA	chr5	48272854	179546287	2.0125	51435	1	1.005	CENTROMERE	DEL	BAF_WEIGHTED	118266	0.3939	48272854	48272854	0	2.0125
sampleA	chr5	179546288	179546320	0.788	0	0	1	DEL	DEL	STRUCTURAL_VARIANT	0	0	179546288	179546288	0	0.788
sampleA	chr5	179546321	181538259	1.9885	921	1	1.0051	DEL	TELOMERE	BAF_WEIGHTED	1410	0.4737	179546321	179546321	0	1.9885
sampleA	chr6	1	26193864	3.8843	12972	0.5406	0.5151	TELOMERE	BND	BAF_WEIGHTED	24701	0.4118	1	1	1.8835	2.0008
sampleA	chr6	26193865	26193889	7.5185	0	0	0.7561	BND	INV	STRUCTURAL_VARIANT	0	0	26193865	26193865	1.8335	5.685
sampleA	chr6	26193890	26194178	7.5819	0	0	0.7582	INV	INV	STRUCTURAL_VARIANT	0	0	26193890	26193890	1.8335	5.7485
sampleA	chr6	26194179	59191910	3.8341	15343	0.5418	0.5218	INV	CENTROMERE	BAF_WEIGHTED	28760	0.4214	26194179	26194179	1.8335	2.0006
sampleA	chr6	59191911	64588484	3.7942	1745	0.5417	0.5283	CENTROMERE	BND	BAF_WEIGHTED	2990	0.3595	59191911	59191911	1.7899	2.0043
sampleA	chr6	64588485	138452921	2.8734	30151	0.6535	0.6546	BND	BND	BAF_WEIGHTED	68862	0.3738	64588485	64588485	0.9924	1.881
sampleA	chr6	138452922	138453044	4.1258	0	0	0.7595	BND	BND	STRUCTURAL_VARIANT	0	0	138452922	138452922	0.9924	3.1334
sampleA	chr6	138453045	170805979	2.8824	14407	0.6518	0.6529	BND	TELOMERE	BAF_WEIGHTED	30274	0.4068	138453045	138453045	1.0005	1.8819
sampleA	chr7	1	6752241	3.937	2562	0.5405	0.5089	TELOMERE	DUP	BAF_WEIGHTED	5206	0.5036	1	1	1.9334	2.0036
sampleA	chr7	6752242	6752308	4.8726	0	0	0.5819	DUP	DUP	STRUCTURAL_VARIANT	0	0	6752242	6752242	2.0372	2.8354
sampleA	chr7	6752309	12908284	4.0374	4557	0.5394	0.5046	DUP	SGL	BAF_WEIGHTED	5589	0.3643	6752309	6752309	2.0002	2.0372
sampleA	chr7	12908285	52372658	4.058	17403	0.5396	0.5069	SGL	DEL	BAF_WEIGHTED	36321	0.3997	12908285	12908285	2.0012	2.0568
sampleA	chr7	52372659	52372691	2.5541	0	0	0.8053	DEL	DEL	STRUCTURAL_VARIANT	0	0	52372659	52372659	0.4973	2.0568
sampleA	chr7	52372692	57403873	3.9661	2671	0.5412	0.5044	DEL	DEL	BAF_WEIGHTED	4035	0.3981	52372692	52372692	1.9658	2.0003
sampleA	chr7	57403874	57436403	1.9582	12	1	1.005	DEL	DEL	BAF_WEIGHTED	17	0.4359	57403874	57403874	0	1.9582
sampleA	chr7	57436404	59498943	3.9358	95	0.5513	0.5082	DEL	CENTROMERE	BAF_WEIGHTED	109	0.4007	57436404	57436404	1.9358	2
sampleA	chr7	59498944	78352522	3.8773	5534	0.5411	0.5158	CENTROMERE	DEL	BAF_WEIGHTED	11311	0.438	59498944	59498944	1.8775	1.9998
sampleA	chr7	78352523	78452931	3.0443	67	0.6721	0.6732	DEL	DEL	BAF_WEIGHTED	96	0.365	78352523	78352523	0.9948	2.0496
sampleA	chr7	78452932	78560889	3.9886	11	0.5224	0.5014	DEL	DEL	BAF_WEIGHTED	106	0.3681	78452932	78452932	1.9886	2
sampleA	chr7	78560890	78628369	3.0218	42	0.6819	0.6831	DEL	DEL	BAF_WEIGHTED	65	0.3721	78560890	78560890	0.9577	2.0641
sampleA	chr7	78628370	86215351	4.05	3647	0.5392	0.5068	DEL	DUP	BAF_WEIGHTED	7230	0.3511	78628370	78628370	1.9975	2.0526
sampleA	chr7	86215352	86224384	5.0025	8	0.5558	0.5558	DUP	DUP	BAF_WEIGHTED	8	0.3853	86215352	86215352	2.2221	2.7804
sampleA	chr7	86224385	104844620	4.0058	6871	0.5399	0.5082	DUP	DUP	BAF_WEIGHTED	16365	0.4018	86224385	86224385	1.9702	2.0357
sampleA	chr7	104844621	104971854	6.0764	20	0.6713	0.6719	DUP	DUP	BAF_WEIGHTED	115	0.4419	104844621	104844621	1.9938	4.0826
sampleA	chr7	104971855	110753276	4.0462	1864	0.5405	0.5078	DUP	DEL	BAF_WEIGHTED	5425	0.3886	104971855	104971855	1.9917	2.0545
sampleA	chr7	110753277	110754404	3.1391	0	0	0.6361	DEL	DEL	STRUCTURAL_VARIANT	0	0	110753277	110753277	1.1422	1.9969
sampleA	chr7	110754405	126106069	4.0351	5655	0.5406	0.5051	DEL	DEL	BAF_WEIGHTED	14488	0.3627	110754405	110754405	1.9969	2.0382
sampleA	chr7	126106070	126458435	1.966	194	1	1.0051	DEL	INV	BAF_WEIGHTED	331	0.3493	126106070	126106070	0	1.966
sampleA	chr7	126458436	126526846	3.9146	36	0.5416	0.5119	INV	DEL	BAF_WEIGHTED	64	0.3537	126458436	126458436	1.9109	2.0037
sampleA	chr7	126526847	126527387	6.8398	0	0	0.7071	DEL	INV	STRUCTURAL_VARIANT	0	0	126526847	126526847	2.0035	4.8363
sampleA	chr7	126527388	126527390	9.942	0	0	0.7985	INV	MULTIPLE	STRUCTURAL_VARIANT	0	0	126527388	126527388	2.0035	7.9385
sampleA	chr7	126527391	144239441	6.0293	6468	0.6671	0.6677	MULTIPLE	INV	BAF_WEIGHTED	15723	0.4174	126527391	126527391	2.0035	4.0258
sampleA	chr7	144239442	144240113	10.1471	0	0	0.8026	INV	INV	STRUCTURAL_VARIANT	0	0	144239442	144239442	2.0035	8.1436
sampleA	chr7	144240114	144241248	12.4811	0	0	0.8395	INV	INV	STRUCTURAL_VARIANT	0	0	144240114	144240114	2.0035	10.4776
sampleA	chr7	144241249	144242721	8.7322	0	0	0.7706	INV	INV	STRUCTURAL_VARIANT	0	0	144241249	144241249	2.0035	6.7287
sampleA	chr7	144242722	144262133	4.8195	0	0	0.5843	INV	DEL	BAF_WEIGHTED	1	0.401	144242722	144242722	2.0035	2.816
sampleA	chr7	144262134	144308257	3.0303	0	0	0.6612	DEL	DEL	STRUCTURAL_VARIANT	0	0	144262134	144262134	1.0268	2.0035
